Max Features,Train Time
1000,11.825199948416817
1100,13.63703038957384
1200,15.403778129153782
1300,15.85524476899041
1400,17.47161293029785
1500,144.81252447764078
1600,28.455541398790146
1700,30.19608563847012
1800,31.851021634207832
1900,33.3794117503696
2000,35.42361278004117
2100,24.274982505374485
2200,24.605519824557835
2300,33.92275333404541
2400,44.875984536276924
2500,34.52339665095011
2600,34.133143954806854
2700,35.95854107538859
2800,36.97923130459256
2900,36.723611222373115
3000,38.72789798842536
3100,39.22319984436035
3200,42.10039043426514
3300,41.007096449534096
3400,41.372640159395004
3500,44.219898568259346
3600,44.03133357895745
3700,43.00600798924764
3800,45.18390652868483
3900,48.401143577363754
4000,50.529286199145844
4100,52.75292780664232
4200,55.59413976139493
4300,54.293433374828766
4400,51.178170654508804
4500,51.553087923261856
4600,53.58086625734965
4700,54.404020600848725
4800,55.66492618454827
4900,58.61451771524217
5000,60.73926040861342
5100,60.7245127360026
5200,61.424369202719795
5300,61.1556134223938
5400,66.4755538834466
5500,64.21866469913058
5600,69.51258360015021
5700,66.50544322861566
5800,71.24859086672465
5900,69.32088753912184
